,coord,country,id,name
152364,"{'lon': -1.31667, 'lat': 47.066669}",FR,6612551,Saint-Hilaire-de-Clisson
178997,"{'lon': 35.935051, 'lat': 32.388062}",JO,250052,Balila
198578,"{'lon': -82.528458, 'lat': 35.533718}",US,4455999,Biltmore Forest
101526,"{'lon': 13.89221, 'lat': 48.516602}",AT,2764152,Streinesberg
58790,"{'lon': -108.018059, 'lat': 49.716759}",CA,5882375,Admiral
94168,"{'lon': 9.61209, 'lat': 47.44376}",CH,7669843,Platz
29778,"{'lon': 7.06778, 'lat': 52.519169}",DE,3221075,Landkreis Grafschaft Bentheim
207401,"{'lon': -101.691559, 'lat': 41.571651}",US,5693294,Arthur
117915,"{'lon': -71.466171, 'lat': 41.850101}",US,5223681,North Providence
197096,"{'lon': -84.996353, 'lat': 39.817822}",US,4255627,Centerville
180268,"{'lon': 57.50528, 'lat': -20.50972}",MU,933988,Surinam
156428,"{'lon': 3.26344, 'lat': 45.468861}",FR,3004983,Le Breuil-sur-Couze
164967,"{'lon': 113.475197, 'lat': -8.3702}",ID,1630579,Puger
200720,"{'lon': -95.633842, 'lat': 29.08358}",US,4741838,Wild Peach Village
99191,"{'lon': 18.950001, 'lat': 46.883331}",HU,3055895,Apostagi Tanyák
131584,"{'lon': 120.144096, 'lat': 30.364889}",CN,7735220,Kangqiao
126407,"{'lon': 118.865829, 'lat': 27.96472}",CN,1800337,Shangyang
9621,"{'lon': 14.796570000000001, 'lat': 47.280289}",AT,7872398,Seckau
18092,"{'lon': 29.79376, 'lat': 59.49157}",RU,467856,Yelizavetino
17067,"{'lon': 46.581299, 'lat': 54.842098}",RU,583437,Alatyr
84870,"{'lon': -2.32378, 'lat': 43.118252}",ES,3130808,Aginaga
179774,"{'lon': 21.715, 'lat': 41.957779}",MK,785620,Sredno Konjari
21376,"{'lon': 37.240833, 'lat': 55.757778}",RU,557115,Il’inskoye
69566,"{'lon': 8.1275, 'lat': 49.81028}",DE,2830449,Spiesheim
116781,"{'lon': -75.111839, 'lat': 39.702888}",US,4501931,Glassboro
116277,"{'lon': -80.083099, 'lat': 26.35869}",US,4148411,Boca Raton
116721,"{'lon': -88.556129, 'lat': 30.365761}",US,4440397,Pascagoula
6642,"{'lon': 76.783333, 'lat': 28.316669}",IN,1260156,Pataudi
184826,"{'lon': 120.4655, 'lat': 16.1028}",PH,1708303,Labney
107096,"{'lon': 39.536701, 'lat': 39.71365}",TR,296667,Yoğurtlu
69768,"{'lon': 11.16743, 'lat': 50.61396}",DE,2818426,Unterweissbach
36851,"{'lon': -83.749901, 'lat': 34.650101}",US,4230595,White County
57539,"{'lon': -114.435303, 'lat': 49.600021}",CA,5903535,Blairmore
